experiment_id,experiment_label,publication_status,source_workbook,source_row,source_column,host,host_type,plant_id,plant_number,treatment_class,isolate_1,isolate_2,mixture_ratio,total_dose_conidia_per_ml,component_dose_conidia_per_ml,condition_id,subsample_id,ordinal_score,raw_code
E1_BTx398_AMP155_AMP170,Experiment 1,published,source_workbook_A_experiments_1_2.xlsx,3,2,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,single,AMP155,,,1000000,1000000,E1_BTx398_AMP155_AMP170|AMP155|1000000,1,2,244
E1_BTx398_AMP155_AMP170,Experiment 1,published,source_workbook_A_experiments_1_2.xlsx,3,2,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,single,AMP155,,,1000000,1000000,E1_BTx398_AMP155_AMP170|AMP155|1000000,2,4,244
E1_BTx398_AMP155_AMP170,Experiment 1,published,source_workbook_A_experiments_1_2.xlsx,3,2,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,single,AMP155,,,1000000,1000000,E1_BTx398_AMP155_AMP170|AMP155|1000000,3,4,244
E1_BTx398_AMP155_AMP170,Experiment 1,published,source_workbook_A_experiments_1_2.xlsx,3,3,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,single,AMP155,,,500000,500000,E1_BTx398_AMP155_AMP170|AMP155|500000,1,3,332
E1_BTx398_AMP155_AMP170,Experiment 1,published,source_workbook_A_experiments_1_2.xlsx,3,3,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,single,AMP155,,,500000,500000,E1_BTx398_AMP155_AMP170|AMP155|500000,2,3,332
E1_BTx398_AMP155_AMP170,Experiment 1,published,source_workbook_A_experiments_1_2.xlsx,3,3,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,single,AMP155,,,500000,500000,E1_BTx398_AMP155_AMP170|AMP155|500000,3,2,332
E1_BTx398_AMP155_AMP170,Experiment 1,published,source_workbook_A_experiments_1_2.xlsx,3,4,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,single,AMP155,,,100000,100000,E1_BTx398_AMP155_AMP170|AMP155|100000,1,2,221
E1_BTx398_AMP155_AMP170,Experiment 1,published,source_workbook_A_experiments_1_2.xlsx,3,4,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,single,AMP155,,,100000,100000,E1_BTx398_AMP155_AMP170|AMP155|100000,2,2,221
E1_BTx398_AMP155_AMP170,Experiment 1,published,source_workbook_A_experiments_1_2.xlsx,3,4,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,single,AMP155,,,100000,100000,E1_BTx398_AMP155_AMP170|AMP155|100000,3,1,221
E1_BTx398_AMP155_AMP170,Experiment 1,published,source_workbook_A_experiments_1_2.xlsx,3,5,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,single,AMP155,,,50000,50000,E1_BTx398_AMP155_AMP170|AMP155|50000,1,2,231
E1_BTx398_AMP155_AMP170,Experiment 1,published,source_workbook_A_experiments_1_2.xlsx,3,5,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,single,AMP155,,,50000,50000,E1_BTx398_AMP155_AMP170|AMP155|50000,2,3,231
E1_BTx398_AMP155_AMP170,Experiment 1,published,source_workbook_A_experiments_1_2.xlsx,3,5,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,single,AMP155,,,50000,50000,E1_BTx398_AMP155_AMP170|AMP155|50000,3,1,231
E1_BTx398_AMP155_AMP170,Experiment 1,published,source_workbook_A_experiments_1_2.xlsx,3,6,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,single,AMP155,,,10000,10000,E1_BTx398_AMP155_AMP170|AMP155|10000,1,1,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,source_workbook_A_experiments_1_2.xlsx,3,6,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,single,AMP155,,,10000,10000,E1_BTx398_AMP155_AMP170|AMP155|10000,2,1,111
