experiment_id,experiment_label,publication_status,source_workbook,source_row,source_column,host,host_type,plant_id,plant_number,treatment_class,isolate_1,isolate_2,mixture_ratio,total_dose_conidia_per_ml,component_dose_conidia_per_ml,condition_id,technical_subsamples,plant_mean_score,raw_code
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,3,2,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,single,AMP155,,,1000000,1000000,E1_BTx398_AMP155_AMP170|AMP155|1000000,3,3.3333333333333335,244
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,3,3,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,single,AMP155,,,500000,500000,E1_BTx398_AMP155_AMP170|AMP155|500000,3,2.6666666666666665,332
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,3,4,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,single,AMP155,,,100000,100000,E1_BTx398_AMP155_AMP170|AMP155|100000,3,1.6666666666666667,221
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,3,5,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,single,AMP155,,,50000,50000,E1_BTx398_AMP155_AMP170|AMP155|50000,3,2.0,231
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,3,6,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,single,AMP155,,,10000,10000,E1_BTx398_AMP155_AMP170|AMP155|10000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,3,7,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,single,AMP155,,,5000,5000,E1_BTx398_AMP155_AMP170|AMP155|5000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,4,2,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P02,2,single,AMP155,,,1000000,1000000,E1_BTx398_AMP155_AMP170|AMP155|1000000,3,3.6666666666666665,443
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,4,3,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P02,2,single,AMP155,,,500000,500000,E1_BTx398_AMP155_AMP170|AMP155|500000,3,3.0,333
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,4,4,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P02,2,single,AMP155,,,100000,100000,E1_BTx398_AMP155_AMP170|AMP155|100000,3,2.0,222
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,4,5,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P02,2,single,AMP155,,,50000,50000,E1_BTx398_AMP155_AMP170|AMP155|50000,3,1.6666666666666667,122
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,4,6,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P02,2,single,AMP155,,,10000,10000,E1_BTx398_AMP155_AMP170|AMP155|10000,3,1.3333333333333333,112
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,4,7,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P02,2,single,AMP155,,,5000,5000,E1_BTx398_AMP155_AMP170|AMP155|5000,3,1.0,111
