host,replicate_id,tissue,treatment_raw,isolate,concentration,score,is_mixture_treatment,source_file,n_components,is_mixture_clean,mixture_unknown,isolate_1,isolate_2,isolate_3,ratio_1,ratio_2,ratio_3,mixture_label,isolate_clean,treatment_id
BTx398,Plant #1,leaf,AMP99 10 6,AMP99,1000000,4,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_1e6
BTx398,Plant #1,leaf,AMP99 10 6/2,AMP99,500000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_0.5e6
BTx398,Plant #1,leaf,AMP99 10 5,AMP99,100000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_1e5
BTx398,Plant #1,leaf,AMP99 10 5/2,AMP99,50000,4.33,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_0.5e5
BTx398,Plant #1,leaf,AMP99 10 4,AMP99,10000,2,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_1e4
BTx398,Plant #1,leaf,AMP99 10 4/2,AMP99,5000,2.33,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_0.5e4
BTx398,Plant #2,leaf,AMP99 10 6,AMP99,1000000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_1e6
BTx398,Plant #2,leaf,AMP99 10 6/2,AMP99,500000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_0.5e6
BTx398,Plant #2,leaf,AMP99 10 5,AMP99,100000,5,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_1e5
BTx398,Plant #2,leaf,AMP99 10 5/2,AMP99,50000,3.67,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_0.5e5
BTx398,Plant #2,leaf,AMP99 10 4,AMP99,10000,1,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_1e4
BTx398,Plant #2,leaf,AMP99 10 4/2,AMP99,5000,2.33,FALSE,mixture_02_Raw score of second experiments.xlsx,1,FALSE,FALSE,AMP99,,,1,,,,AMP99,AMP99_0.5e4
