host,replicate_id,tissue,treatment_raw,isolate,concentration,score,is_mixture_treatment,source_file,environment,n_components,is_mixture_clean,mixture_unknown,isolate_1,isolate_2,isolate_3,ratio_1,ratio_2,ratio_3,mixture_label,isolate_clean
SH1002,,,JG16081,JG16081,1000000,1.33,False,SH1002_mixture.xlsx,lab,1,False,False,JG16081,,,1.0,,,,JG16081
SH1002,,,JG16081,JG16081,1000000,2.0,False,SH1002_mixture.xlsx,lab,1,False,False,JG16081,,,1.0,,,,JG16081
SH1002,,,JG16081,JG16081,1000000,1.0,False,SH1002_mixture.xlsx,lab,1,False,False,JG16081,,,1.0,,,,JG16081
SH1002,,,JG16081,JG16081,1000000,1.0,False,SH1002_mixture.xlsx,lab,1,False,False,JG16081,,,1.0,,,,JG16081
SH1002,,,JG16081,JG16081,1000000,1.0,False,SH1002_mixture.xlsx,lab,1,False,False,JG16081,,,1.0,,,,JG16081
SH1002,,,JG16081,JG16081,1000000,1.33,False,SH1002_mixture.xlsx,lab,1,False,False,JG16081,,,1.0,,,,JG16081
SH1002,,,JG16081,JG16081,1000000,1.0,False,SH1002_mixture.xlsx,lab,1,False,False,JG16081,,,1.0,,,,JG16081
SH1002,,,JG16081,JG16081,1000000,1.0,False,SH1002_mixture.xlsx,lab,1,False,False,JG16081,,,1.0,,,,JG16081
SH1002,,,JG16081,JG16081,1000000,1.0,False,SH1002_mixture.xlsx,lab,1,False,False,JG16081,,,1.0,,,,JG16081
SH1002,,,FSP35,FSP35,1000000,1.67,False,SH1002_mixture.xlsx,lab,1,False,False,FSP35,,,1.0,,,,FSP35
SH1002,,,FSP35,FSP35,1000000,1.67,False,SH1002_mixture.xlsx,lab,1,False,False,FSP35,,,1.0,,,,FSP35
SH1002,,,FSP35,FSP35,1000000,2.33,False,SH1002_mixture.xlsx,lab,1,False,False,FSP35,,,1.0,,,,FSP35
SH1002,,,FSP35,FSP35,1000000,2.67,False,SH1002_mixture.xlsx,lab,1,False,False,FSP35,,,1.0,,,,FSP35
SH1002,,,FSP35,FSP35,1000000,2.0,False,SH1002_mixture.xlsx,lab,1,False,False,FSP35,,,1.0,,,,FSP35
SH1002,,,FSP35,FSP35,1000000,1.67,False,SH1002_mixture.xlsx,lab,1,False,False,FSP35,,,1.0,,,,FSP35
SH1002,,,FSP35,FSP35,1000000,3.33,False,SH1002_mixture.xlsx,lab,1,False,False,FSP35,,,1.0,,,,FSP35
SH1002,,,FSP35,FSP35,1000000,3.67,False,SH1002_mixture.xlsx,lab,1,False,False,FSP35,,,1.0,,,,FSP35
SH1002,,,FSP35,FSP35,1000000,3.33,False,SH1002_mixture.xlsx,lab,1,False,False,FSP35,,,1.0,,,,FSP35
SH1002,,,FSP53,FSP53,1000000,1.67,False,SH1002_mixture.xlsx,lab,1,False,False,FSP53,,,1.0,,,,FSP53
SH1002,,,FSP53,FSP53,1000000,1.33,False,SH1002_mixture.xlsx,lab,1,False,False,FSP53,,,1.0,,,,FSP53
SH1002,,,FSP53,FSP53,1000000,1.67,False,SH1002_mixture.xlsx,lab,1,False,False,FSP53,,,1.0,,,,FSP53
SH1002,,,FSP53,FSP53,1000000,1.67,False,SH1002_mixture.xlsx,lab,1,False,False,FSP53,,,1.0,,,,FSP53
SH1002,,,FSP53,FSP53,1000000,1.67,False,SH1002_mixture.xlsx,lab,1,False,False,FSP53,,,1.0,,,,FSP53
SH1002,,,FSP53,FSP53,1000000,1.67,False,SH1002_mixture.xlsx,lab,1,False,False,FSP53,,,1.0,,,,FSP53
SH1002,,,FSP53,FSP53,1000000,2.33,False,SH1002_mixture.xlsx,lab,1,False,False,FSP53,,,1.0,,,,FSP53
SH1002,,,FSP53,FSP53,1000000,2.33,False,SH1002_mixture.xlsx,lab,1,False,False,FSP53,,,1.0,,,,FSP53
SH1002,,,FSP53,FSP53,1000000,1.67,False,SH1002_mixture.xlsx,lab,1,False,False,FSP53,,,1.0,,,,FSP53
SH1002,,,JG16081 and FSP35,FSP35,1000000,1.67,True,SH1002_mixture.xlsx,lab,2,True,False,JG16081,FSP35,,1.0,1.0,,JG16081+FSP35,
SH1002,,,JG16081 and FSP35,FSP35,1000000,3.0,True,SH1002_mixture.xlsx,lab,2,True,False,JG16081,FSP35,,1.0,1.0,,JG16081+FSP35,
SH1002,,,JG16081 and FSP35,FSP35,1000000,2.33,True,SH1002_mixture.xlsx,lab,2,True,False,JG16081,FSP35,,1.0,1.0,,JG16081+FSP35,
SH1002,,,JG16081 and FSP35,FSP35,1000000,2.0,True,SH1002_mixture.xlsx,lab,2,True,False,JG16081,FSP35,,1.0,1.0,,JG16081+FSP35,
SH1002,,,JG16081 and FSP35,FSP35,1000000,2.67,True,SH1002_mixture.xlsx,lab,2,True,False,JG16081,FSP35,,1.0,1.0,,JG16081+FSP35,
SH1002,,,JG16081 and FSP35,FSP35,1000000,1.67,True,SH1002_mixture.xlsx,lab,2,True,False,JG16081,FSP35,,1.0,1.0,,JG16081+FSP35,
SH1002,,,JG16081 and FSP35,FSP35,1000000,1.0,True,SH1002_mixture.xlsx,lab,2,True,False,JG16081,FSP35,,1.0,1.0,,JG16081+FSP35,
SH1002,,,JG16081 and FSP35,FSP35,1000000,1.33,True,SH1002_mixture.xlsx,lab,2,True,False,JG16081,FSP35,,1.0,1.0,,JG16081+FSP35,
SH1002,,,JG16081 and FSP35,FSP35,1000000,2.0,True,SH1002_mixture.xlsx,lab,2,True,False,JG16081,FSP35,,1.0,1.0,,JG16081+FSP35,
SH1002,,,FSP35 and FSP53,FSP35,1000000,1.33,True,SH1002_mixture.xlsx,lab,2,True,False,FSP35,FSP53,,1.0,1.0,,FSP35+FSP53,
SH1002,,,FSP35 and FSP53,FSP35,1000000,2.33,True,SH1002_mixture.xlsx,lab,2,True,False,FSP35,FSP53,,1.0,1.0,,FSP35+FSP53,
SH1002,,,FSP35 and FSP53,FSP35,1000000,1.33,True,SH1002_mixture.xlsx,lab,2,True,False,FSP35,FSP53,,1.0,1.0,,FSP35+FSP53,
SH1002,,,FSP35 and FSP53,FSP35,1000000,1.67,True,SH1002_mixture.xlsx,lab,2,True,False,FSP35,FSP53,,1.0,1.0,,FSP35+FSP53,
SH1002,,,FSP35 and FSP53,FSP35,1000000,2.0,True,SH1002_mixture.xlsx,lab,2,True,False,FSP35,FSP53,,1.0,1.0,,FSP35+FSP53,
SH1002,,,FSP35 and FSP53,FSP35,1000000,2.33,True,SH1002_mixture.xlsx,lab,2,True,False,FSP35,FSP53,,1.0,1.0,,FSP35+FSP53,
SH1002,,,FSP35 and FSP53,FSP35,1000000,1.67,True,SH1002_mixture.xlsx,lab,2,True,False,FSP35,FSP53,,1.0,1.0,,FSP35+FSP53,
SH1002,,,FSP35 and FSP53,FSP35,1000000,2.0,True,SH1002_mixture.xlsx,lab,2,True,False,FSP35,FSP53,,1.0,1.0,,FSP35+FSP53,
SH1002,,,FSP35 and FSP53,FSP35,1000000,1.67,True,SH1002_mixture.xlsx,lab,2,True,False,FSP35,FSP53,,1.0,1.0,,FSP35+FSP53,
SH1002,,,JG16081 and FSP53,FSP53,1000000,1.33,True,SH1002_mixture.xlsx,lab,2,True,False,JG16081,FSP53,,1.0,1.0,,JG16081+FSP53,
SH1002,,,JG16081 and FSP53,FSP53,1000000,2.33,True,SH1002_mixture.xlsx,lab,2,True,False,JG16081,FSP53,,1.0,1.0,,JG16081+FSP53,
SH1002,,,JG16081 and FSP53,FSP53,1000000,1.33,True,SH1002_mixture.xlsx,lab,2,True,False,JG16081,FSP53,,1.0,1.0,,JG16081+FSP53,
SH1002,,,JG16081 and FSP53,FSP53,1000000,1.67,True,SH1002_mixture.xlsx,lab,2,True,False,JG16081,FSP53,,1.0,1.0,,JG16081+FSP53,
SH1002,,,JG16081 and FSP53,FSP53,1000000,2.0,True,SH1002_mixture.xlsx,lab,2,True,False,JG16081,FSP53,,1.0,1.0,,JG16081+FSP53,
