analysis_family,experiment_id,experiment_label,publication_status,host,isolate,independent_unit,plants,dose_levels,minimum_dose_conidia_per_ml,maximum_dose_conidia_per_ml,page_statistic_times2,page_p_exact_one_sided,exact_null_states,friedman_chi_square,friedman_p,median_plant_spearman_rho,mean_score_lowest_dose,mean_score_highest_dose,mean_change_high_minus_low,page_p_holm_within_family
published_primary,E1_BTx398_AMP155_AMP170,Experiment 1,published,BTx398,AMP155,plant,6,6,5000,1000000,1075,8.168938026516585e-12,405,27.16748768472906,5.2914132516200326e-05,0.9493209847495709,1.0,3.111111111111111,2.111111111111111,8.168938026516585e-11
published_primary,E1_BTx398_AMP155_AMP170,Experiment 1,published,BTx398,AMP170,plant,6,6,5000,1000000,982,0.001036604938271605,317,16.40625,0.005775031319249025,0.651086652110674,1.0,1.3333333333333333,0.3333333333333333,0.003109814814814815
published_primary,E2_RTx2536_AMP77_AMP207,Experiment 2,published,RTx2536,AMP207,plant,6,6,5000,1000000,1052,5.515546410608139e-09,369,25.243243243243246,0.0001250443492740565,0.885487177250534,1.0,3.0555555555555554,2.0555555555555554,4.9639917695473246e-08
published_primary,E2_RTx2536_AMP77_AMP207,Experiment 2,published,RTx2536,AMP77,plant,6,6,5000,1000000,1036,6.555911192399533e-07,369,22.729729729729723,0.00038017917721610954,0.786001630452255,1.0,1.888888888888889,0.888888888888889,4.589137834679673e-06
published_primary,E3_BTx398_AMP99_AMP170,Experiment 3,published,BTx398,AMP170,plant,7,6,5000,1000000,1204,7.414363506362693e-07,461,24.632034632034607,0.00016407560287451275,0.753702346348183,1.0,4.571428571428571,3.5714285714285716,4.589137834679673e-06
published_primary,E3_BTx398_AMP99_AMP170,Experiment 3,published,BTx398,AMP99,plant,7,6,5000,1000000,1097,0.045294320935841605,453,25.06607929515416,0.00013529934232343907,0.23539595453459985,3.5238095238095246,3.285714285714285,-0.23809523809523828,0.045294320935841605
published_primary,E4_Theis_AMP99_AMP170,Experiment 4,published,Theis,AMP170,plant,6,6,5000,1000000,1009,2.3718278463648833e-05,327,15.701219512195118,0.007750953428829779,0.6976548752630092,1.0,2.3333333333333335,1.3333333333333333,9.487311385459533e-05
published_primary,E4_Theis_AMP99_AMP170,Experiment 4,published,Theis,AMP99,plant,6,6,5000,1000000,973,0.004341598475154109,355,19.466292134831463,0.0015731714868460964,0.5149286505444373,1.0,1.8333333333333333,0.8333333333333331,0.008683196950308218
published_primary,E5_SH1152_FSP35_FSP53,Experiment 5,published,SH1152,FSP35,plant,6,6,5000,1000000,1023,2.4805669867398263e-07,305,22.320261437908492,0.0004550523598863146,0.8451542547285166,1.0,2.5555555555555554,1.5555555555555554,1.984453589391861e-06
published_primary,E5_SH1152_FSP35_FSP53,Experiment 5,published,SH1152,FSP53,plant,6,6,5000,1000000,1026,1.0867066291739699e-05,387,17.93814432989689,0.003024934308710285,0.9031131869074902,1.0,2.2222222222222223,1.2222222222222223,5.4335331458698495e-05
historical_secondary,H1_RTx2536_AMP20_AMP27,Historical block 1,historical,RTx2536,AMP20,plant,6,6,5000,1000000,1047,5.468267085386713e-08,379,23.42105263157893,0.0002803984644387104,0.8030703982338512,1.0555555555555556,4.777777777777778,3.7222222222222228,2.187306834154685e-07
historical_secondary,H1_RTx2536_AMP20_AMP27,Historical block 1,historical,RTx2536,AMP27,plant,6,6,5000,1000000,942,0.05637117641145633,399,23.350000000000005,0.00028932543881300394,0.3212717535469607,2.555555555555556,4.833333333333333,2.2777777777777777,0.05637117641145633
historical_secondary,H2_IS18760_AMP20_AMP27,Historical block 2,historical,IS18760,AMP20,plant,6,6,5000,1000000,1029,1.189271833561957e-06,347,22.298850574712652,0.00045934478150531623,0.7997977105106424,1.0,2.7777777777777772,1.7777777777777777,2.378543667123914e-06
historical_secondary,H2_IS18760_AMP20_AMP27,Historical block 2,historical,IS18760,AMP27,plant,6,6,5000,1000000,1049,5.522452751105015e-08,385,22.487046632124343,0.0004229434309097892,0.8827348295047495,1.0,3.0,2.0,2.187306834154685e-07
