analysis_family,experiment_id,experiment_label,publication_status,host,component_isolate_A,component_isolate_B,mixture_ratio,total_mixture_dose_conidia_per_ml,component_dose_each_conidia_per_ml,contrast_definition,mean_mixture_score,mean_component_control_average,plants_total,plants_nonzero,positive,negative,zero,exact_sign_p,mean_contrast,median_contrast,min_contrast,max_contrast
published_primary,E1_BTx398_AMP155_AMP170,Experiment 1,published,BTx398,AMP155,AMP170,1:1,10000,5000,mixture minus mean of dose-matched component scores,1.1666666666666667,1.0,6,2,2,0,4,0.5,0.16666666666666666,0.0,0.0,0.6666666666666667
published_primary,E1_BTx398_AMP155_AMP170,Experiment 1,published,BTx398,AMP155,AMP170,1:1,100000,50000,mixture minus mean of dose-matched component scores,1.7222222222222223,1.4444444444444444,6,5,5,0,1,0.0625,0.27777777777777773,0.25,0.0,0.6666666666666665
published_primary,E1_BTx398_AMP155_AMP170,Experiment 1,published,BTx398,AMP155,AMP170,1:1,1000000,500000,mixture minus mean of dose-matched component scores,2.3333333333333335,2.111111111111111,6,6,5,1,0,0.21875,0.22222222222222218,0.25,-0.666666666666667,0.666666666666667
published_primary,E2_RTx2536_AMP77_AMP207,Experiment 2,published,RTx2536,AMP207,AMP77,1:1,10000,5000,mixture minus mean of dose-matched component scores,1.0,1.0,6,0,0,0,6,1.0,0.0,0.0,0.0,0.0
published_primary,E2_RTx2536_AMP77_AMP207,Experiment 2,published,RTx2536,AMP207,AMP77,1:1,100000,50000,mixture minus mean of dose-matched component scores,1.611111111111111,1.1944444444444444,6,6,4,2,0,0.6875,0.4166666666666667,0.41666666666666674,-0.16666666666666652,1.333333333333333
published_primary,E2_RTx2536_AMP77_AMP207,Experiment 2,published,RTx2536,AMP207,AMP77,1:1,1000000,500000,mixture minus mean of dose-matched component scores,3.1666666666666665,1.972222222222222,6,6,6,0,0,0.03125,1.1944444444444444,1.3333333333333335,0.5,1.6666666666666667
published_primary,E3_BTx398_AMP99_AMP170,Experiment 3,published,BTx398,AMP170,AMP99,1:1,10000,5000,mixture minus mean of dose-matched component scores,1.8095238095238098,2.261904761904762,7,7,2,5,0,0.453125,-0.45238095238095244,-0.6666666666666667,-1.8333333333333335,2.333333333333333
published_primary,E3_BTx398_AMP99_AMP170,Experiment 3,published,BTx398,AMP170,AMP99,1:1,100000,50000,mixture minus mean of dose-matched component scores,2.714285714285715,2.976190476190476,7,7,4,3,0,1.0,-0.26190476190476186,0.33333333333333304,-2.166666666666667,1.166666666666667
published_primary,E3_BTx398_AMP99_AMP170,Experiment 3,published,BTx398,AMP170,AMP99,1:1,1000000,500000,mixture minus mean of dose-matched component scores,3.9999999999999996,4.071428571428571,7,6,4,2,1,0.6875,-0.07142857142857142,0.16666666666666607,-2.6666666666666665,2.166666666666667
published_primary,E4_Theis_AMP99_AMP170,Experiment 4,published,Theis,AMP170,AMP99,1:1,10000,5000,mixture minus mean of dose-matched component scores,2.1666666666666665,1.0,6,5,5,0,1,0.0625,1.1666666666666667,1.1666666666666665,0.0,2.0
published_primary,E4_Theis_AMP99_AMP170,Experiment 4,published,Theis,AMP170,AMP99,1:1,100000,50000,mixture minus mean of dose-matched component scores,2.611111111111111,1.8888888888888886,6,6,6,0,0,0.03125,0.7222222222222223,0.6666666666666667,4.440892098500626e-16,1.6666666666666665
published_primary,E4_Theis_AMP99_AMP170,Experiment 4,published,Theis,AMP170,AMP99,1:1,1000000,500000,mixture minus mean of dose-matched component scores,3.2777777777777772,1.8333333333333333,6,6,5,1,0,0.21875,1.4444444444444444,1.8333333333333333,-0.833333333333333,2.333333333333333
